Localitate,Unitate,Total Persoane instruite
București,ISU BIF,9240
Prahova,ISU PH,8748
Valcea,ISU VL,3560
Arges,ISU AG,2932
Gorj,ISU GJ,2726
Brasov,ISU BV,2720
Ialomita,ISU IL,2522
Bistrița,ISU BN,2004
Dambovita,ISU DB,1980
Teleorman,ISU TR,1965
Bacău,ISU BC,1714
Olt,ISU OT,1583
Bihor,ISU BH,1336
Sibiu,ISU SB,1249
Cluj,ISU CJ,1195
Satu-Mare,ISU SM,1166
Vrancea,ISU VN,918
Neamt,ISU NT,905
Arad,ISU AR,842
Mehedinti,ISU MH,759
Mures,ISU MS,759
Harghita,ISU HR,620
Alba,ISU AB,609
Constanţa,ISU CT,577
Buzău,ISU BZ,570
Vaslui,ISU VS,478
Hunedoara,ISU HD,469
Timiș,ISU TM,400