"ONG","ISU","Context","Tip_actor","Nr_colaborari","Nr_ISU","Descriere"
"Asociația Suryam","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Umanitara Dreptul la viata Huedin","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Asociația Umanitară LAHAI ROI","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"Asociația Zâmbete colorate","VL","Aflux refugiați","community_orgs","1","1","Colectare ajutoare umanitare în colaborare cu forțe și mijloace din cadrul ISUJ VL precum și alte entități"
"Asociația ȘANSA TA","BIF","Aflux refugiați","community_orgs","1","1","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie"
"Asociația ”Salvează o inimă”","BT","Aflux refugiați","volunteer_groups","1","1","Asitență umanitară"
"Asociația „Adi Hădean”","IS","Aflux refugiați","community_orgs","1","1","Asigură o masă caldă (prânzul) cetățeniilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina și care sunt cazați în diverse locații din mun. Iași (la solicitarea administratorilor acestora) precum și în zonele de tranzit (Gara Iași și Aeroportul Internațional Iași)."
"ASOCIAȚIA „COMUNITATEA NOASTRĂ”","NT","Pandemie","community_orgs","1","1","FURNIZARE MATERIALE DE PROTECȚIE (DEZINFECTANT)"
"Asociația „Congregația Slujitorii Carității”","IS","Aflux refugiați","faith_based","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"ASOCIAȚIA „CULIȚĂ TĂRÂȚĂ”","NT","Pandemie","community_orgs","1","1","FURNIZARE MATERIALE DE PROTECȚIE (DEZINFECTANT, MĂNUȘI PROTECȚIE, MASCĂ PROTECȚIE), NEBULIZATOR, TUNEL DECONTAMINARE."
"Asociația „Glasul Vieții”","IS","Aflux refugiați","faith_based","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"Asociația „Justiție pentru Minori”","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"ASOCIAȚIA „LUMINA”","BC","Aflux refugiați","community_orgs","1","1","Asigurare cazare și hrană pentru cetățeni ucraineni veniți în urma conflictului ruso-ucrainean"
"ASOCIAȚIA „PHRONESIS”","BC","Aflux refugiați","community_orgs","1","1","Asigurare cazare și hrană pentru cetățeni ucraineni veniți în urma conflictului ruso-ucrainean"
"ASOCIAȚIA „SALVATORUL NEMȚEAN”","NT","Pandemie","volunteer_groups","1","1","FURNIZARE NEBULIZATOR, LAMPĂ UV."
"Asociația „Împreună pentru Miroslava”","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"Asociația „Ștergem o lacrimă”","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"ASOCIȚIA ,,ÎMPARTE BUCURIE""","BN","Pandemie","community_orgs","1","1","SPRIJIN PLATFORMĂ ..UN ACOPERIȘ""  respectiv ,,SPRIJIN DE URGENȚĂ"""
"ASproAS","SV","Aflux refugiați","community_orgs","1","1","asistență refugiați, sprijin material,distribuirea de alimente neperisabile și apă îmbuteliată"
"Beard Brothers","AR","Pandemie","community_orgs","1","1","Asigurarea protecției personalului propriu, personalului medical și a altor instituții implicate în gestionarea situației create de pandemie. ONG-ul, a sprijinit toate aceste instituții prin achiziția și donarea mijloacelor de protecție individuală (măști, combinezoane, viziere de protecție, mănuși), substanțe și produse de curățenie."
"BELLA ITALIA","BR","Aflux refugiați","private_sector","1","1","HRĂNIREA CU MASĂ CALDĂ A REFUGIAȚILOR"
"BISERICA BAPTISTĂ CALAFINDEȘTI","SV","Aflux refugiați","faith_based","1","1","transport persoane, asigurare cazare"
"Biserica creștină Emanuel Galați","GL","Aflux refugiați","faith_based","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Biserica Evanghelica C.A. Fagaras","BV","Aflux refugiați","faith_based","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Biserica Isus Lumina Lumii","SM","Aflux refugiați","faith_based","1","1","Cazare"
"Canache Miruna-Gabriela- Cabinet Individual de Psihologie","CJ","Pandemie","community_orgs","1","1","Servicii"
"Casa Anca Zrinu","CJ","Aflux refugiați","community_orgs","1","1","Cazare"
"Casa de odihnă ”Sfântul Nicolae” , Botoșani","BT","Aflux refugiați","faith_based","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"CASA DOMNEASCĂ","BR","Aflux refugiați","community_orgs","1","1","HRĂNIREA CU MASĂ CALDĂ A REFUGIAȚILOR"
"CASA LUI PATROCLE","SV","Aflux refugiați","community_orgs","1","1","asistență animale de companie"
"Centras","TL","Aflux refugiați","community_orgs","1","1","Asigurare materiale logistică și hrană"
"Centrul Creștin Betania Oradea","BH","Aflux refugiați","faith_based","1","1","asigurare spații de cazare și masă"
"Centrul de Educatie Rutiera, ONG","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Centrul de Integrare pentru Migranți Brașov","BV","Aflux refugiați","diaspora_support","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Cercetașii României","VL","Aflux refugiați","volunteer_groups","1","1","Colectare ajutoare umanitare în colaborare cu forțe și mijloace din cadrul ISUJ VL precum și alte entități"
"Club 30","CJ","Aflux refugiați","community_orgs","1","1","Cazare"
"Colegiul Farmacistilor Cluj","CJ","Aflux refugiați","professional_assoc","1","1","furnizarea de
medicamente prin colaboratori + monitorizarea
depozitului de medicamente"
"COLEGIUL PSIHOLOGILOR DIN ROMÂNIA-FILIALA OLT","OT","Ambele","professional_assoc","1","1","SPRIJIN PSIHOLOGIC OFERIT PERSOANELOR AFECTATE ŞI FAMILIILOR ACESTORA"
"Comunitatea Rușilor Lipoveni, Botoșani","BT","Aflux refugiați","diaspora_support","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"CONCORDIA ACADEMIA","BIF","Aflux refugiați","academia","1","1","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie, translatori"
"Crucea Roșie Elenă (Greek Red Cross)","SV","Aflux refugiați","international","1","1","asistență medicală"
"DABOO DONER","BR","Aflux refugiați","private_sector","1","1","HRĂNIREA CU MASĂ CALDĂ A REFUGIAȚILOR"
"DAS Turda","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Domeniul Regilor","CJ","Aflux refugiați","community_orgs","1","1","Cazare"
"Elphin Family","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Episcopia Romano Catolică","SM","Aflux refugiați","faith_based","1","1","Cazare"
"Federatia Comunitatilor Evreiesti din Romania - JDC","SV","Aflux refugiați","faith_based","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"FIGHT FOR FREEDOM","SV","Aflux refugiați","community_orgs","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"FILANTROPIA ALBA IULIA","AB","Aflux refugiați","community_orgs","1","1","Punerea la dispoziție de spații de cazare, acordarea de hrană și apă"
"FONSS","IS","Aflux refugiați","professional_assoc","1","1","Administrează Centrul de Asistență Umanitară CTR Nicolina"
"Forumul cetățenesc pentru actiune socială și educație civică","VL","Aflux refugiați","community_orgs","1","1","Colectare ajutoare umanitare în colaborare cu forțe și mijloace din cadrul ISUJ VL precum și alte entități"
"Fundatia FAST","BV","Aflux refugiați","community_orgs","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Fundatia inima copilului","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Fundatia Regen","BV","Aflux refugiați","community_orgs","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Fundația Alfa Suflet și Energie","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Fundația Baylor Marea Neagră","TL","Aflux refugiați","community_orgs","1","1","Asigurare medicala pediatica"
"Fundația Betesda Galați","GL","Aflux refugiați","faith_based","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Fundația Bethany","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"Fundația Buckner România","MS","Aflux refugiați","international","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Fundația Caritate Nonprofit Emanuel Speranța României","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Fundația Comunitară Iași","IS","Aflux refugiați","community_orgs","1","1","Achiziționează bunuri de primă necesitate (îmbrăcăminte, materiale de igienă personală etc.) și produse alimentare (greu perisabilă, apă etc.) și le distribuie la alte ONG-uri din jud. IS, SV și BT;
a achiziționat generatoare electrice, diverse bunuri de primă necesitate și produse alimentare pe care le trimite prin intermediul convoaielor umanitare organizate de Primăria mun. Iași cu sprijinul ISU în vama Siret pentru orașul Cernăuți din Ucraina;"
"Fundația Comunitară Mureș","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Fundația Comunitară Oradea","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Fundația Creștină Osana Brașov","BV","Aflux refugiați","faith_based","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"FUNDAȚIA DE SPRIJIN COMUNITAR BACĂU","BC","Aflux refugiați","community_orgs","1","1","Ajutorul cetățenilor ucraineni veniți în urma conflictului ruso-ucrainean"
"Fundația EEBC","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Fundația Hand of Help, Botoșani","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Fundația Hans Linder Satu Mare","SM","Aflux refugiați","community_orgs","1","1","Asigurare de  hrană rece și caldă, pachet de igiena, asistență individuală, dupa nevoi"
"Fundația Inima de copil Galați","GL","Aflux refugiați","community_orgs","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Fundația Inimi slujitoare Tecuci","GL","Aflux refugiați","community_orgs","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Fundația pentru Dezvoltarea Societății Civile (Kaufland)","BIF","Aflux refugiați","community_orgs","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"Fundația Rebenciuc","VL","Aflux refugiați","community_orgs","1","1","Transport din punctele de trecere a frontierei către spațiile de cazare și alte interacțiuni în contextul afluxului de refugiați"
"Fundația ROMÂNIA PRO CULTURE","BIF","Aflux refugiați","community_orgs","1","1","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie, translatori"
"Fundația Sfântul Blasius","MS","Aflux refugiați","faith_based","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Fundația Tanner Romanian Mission Nicorești","GL","Aflux refugiați","international","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Fundația Transilvană Alpha","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Fundația ucrainenilor huțuli din România","MM","Aflux refugiați","diaspora_support","1","1","Colaborarea s-a realizat în vederea asigurării în punctul de trecere a frontierei a unor persoane cunoscătoare de limba ucraineană pentru a se putea comunica cu refugiații."
"Fundația Umanitară Omenia","IS","Aflux refugiați","community_orgs","1","1","A asigurat spații temporare de cazare pentru cetățenii străini sau apatrizi aflați în situații deosebite, proveniți din zona conflictului armat din Ucraina"
"Fundația Ușa Deschisă","BIF","Aflux refugiați","community_orgs","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"Fundația Viața Nouă pentru Copii","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Fundația VIAȚA ȘI LUMINA","BIF","Aflux refugiați","faith_based","1","1","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie, translatori"
"Fundația Youth Cancer Europe","CJ","Pandemie","community_orgs","1","1","Altele"
"Fundația ”Casa Ioana”, Botoșani","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Fundația ”Floare Ialomițeană”","IL","Aflux refugiați","community_orgs","1","1","Cazarea persoanelor refugiate"
"FUNDAȚIA „VICTORINE LE DIEU”","BC","Aflux refugiați","community_orgs","1","1","Asigurare cazare și hrană pentru cetățeni ucraineni veniți în urma conflictului ruso-ucrainean"
"FUNDAȚIA „YANA”","BC","Aflux refugiați","community_orgs","1","1","Asigurare cazare și hrană pentru cetățeni ucraineni veniți în urma conflictului ruso-ucrainean"
"Global Hope","SB","Aflux refugiați","international","1","1","Cooperarea privind asigurarea spațiilor de cazare pentru cetățenii ucraineni"
"Good Neighbors","TL","Aflux refugiați","diaspora_support","1","1","Deconare transport si sprijin psihologic"
"Gorgeous Travel SRL","CJ","Pandemie","private_sector","1","1","Masa calda pentru familiile din Ucraina care sunt in Cluj-Napoca."
"Grup de Inițiativă Civică Piatra de Jos","TL","Aflux refugiați","community_orgs","1","1","Asigurare materiale logistică și hrană"
"Heart of Hope","SB","Aflux refugiați","international","1","1","Cooperarea privind asigurarea spațiilor de cazare pentru cetățenii ucraineni"
"Hm roots srl","CJ","Pandemie","private_sector","1","1","Produse alimentare"
"Hope for the children International, Dorohoi","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Hostel Vointa","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Hotel Beta","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Hotel Granata","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Hotel hamham","CJ","Pandemie","private_sector","1","1","Servicii"
"Hotel Hilton","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Hotel Liliacul","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Hotel Meteor","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"HUB PENTRU RECONSTRUCȚIE CIVICĂ","TL","Aflux refugiați","community_orgs","1","1","Asigurare hrană caldă"
"JW.ORG","SV","Aflux refugiați","faith_based","1","1","oferirea de hrană caldă"
"Kastel Youth Hub Brașov","BV","Aflux refugiați","community_orgs","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Life Education for All","CJ","Pandemie","community_orgs","1","1","Servicii"
"Life For Ukraine","CT","Aflux refugiați","diaspora_support","1","1","La solicitarea C.J.C.C.I. a oferit sprijin refugiaților aflați pe teritoriul județului Constanța prin găzduire și oferirea hranei. ONG-ul oferă un mecanism larg de sprijin pentru toate persoanele care părăsesc Ucraina prin consiliere pentru integrare și furnizarea de informații care promovează accesul la drepturi."
"Liga Navală Română","BIF","Aflux refugiați","professional_assoc","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"LIGA STUDENȚILOR - FILIALA BACĂU","BC","Aflux refugiați","academia","1","1","Sprijinul persoanelor refugiate, asigurare hrană, asigurare prim-ajutor medical"
"Lupas Andreea PFA","CJ","Pandemie","private_sector","1","1","Spații cazare"
"MEDU","SV","Aflux refugiați","international","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"Mobitex SRL, Loc. Dej, str. Valcele nr. 36","CJ","Pandemie","private_sector","1","1","Spații cazare"
"O.N.G Fundația Emanuel Speranța României","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"OESB din Cluj ( cavalerii templieri)","BT","Aflux refugiați","faith_based","1","1","Asistență umanitară"
"Organizatia Crestina Ecce Hom,o","CJ","Pandemie","faith_based","1","1","Facilități transport"
"PAROHIA REFORMATA JEBUCU","SJ","Aflux refugiați","faith_based","1","1","Asigurare cazare"
"PATRIR","CJ","Pandemie","international","1","1","Produse alimentare"
"Pensiunea BBS RESIDENCE","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Pensiunea Casa Zanelor","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Pensiunea CASA ZECE Turda","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Pensiunea Gabi","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Pensunea Pascalau","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"Protopopiatul Oas, Episcopia Ortodoxă a Maramureșului și Satmarului","SM","Aflux refugiați","faith_based","1","1","Asigurare hrană rece și caldă la cerere, consiliere, cazare de urgență și pe perioada nedeterminată, transport, pachete de alimente, sanitare, haine și alte materiale prin depozitele din Halmeu,transport materiale în scop umanitar dincolo de graniță"
"RBC REAL ESTATE SRL","CJ","Pandemie","private_sector","1","1","Servicii"
"Refugee 4 Refugees","SV","Aflux refugiați","diaspora_support","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"RESTAURANT PRIVIGHETOAREA","BR","Aflux refugiați","private_sector","1","1","HRĂNIREA CU MASĂ CALDĂ A REFUGIAȚILOR"
"RZR SERVICE SRL","CJ","Pandemie","private_sector","1","1","Produse alimentare"
"Sache Vet Clinic","BIF","Aflux refugiați","private_sector","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"SamCivica Satu Mare","SM","Aflux refugiați","community_orgs","1","1","Cazare"
"SAMU Emergencias","TL","Aflux refugiați","international","1","1","Asigurare prim ajutor de urgență"
"sc chimirex co srl","CJ","Pandemie","private_sector","1","1","Spații cazare"
"SC PERFECT DIAMOND EVENT SRL, Pensiunea Vila Dana Cluj","CJ","Pandemie","private_sector","1","1","Spații cazare"
"Sc roconfort srl","CJ","Pandemie","private_sector","1","1","Spații cazare"
"SC SORIANA DRIVE SRL","CJ","Pandemie","private_sector","1","1","Spații cazare"
"Simona Elena și Voluntarii","BT","Aflux refugiați","volunteer_groups","1","1","Asitență umanitară (mâncare caldă, transport, alimente neperisabile)"
"Societatea de Educație Contraceptivă și Sexuală - SECS","BIF","Aflux refugiați","community_orgs","1","1","Distribuire pliante cu privire la educația contraceptivă și sexuală"
"Tabăra borokagyoker egyesulet Satu Mare","SM","Aflux refugiați","community_orgs","1","1","Cazare"
"THE COSSY SPOT Hostel","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"The Love Van","TL","Aflux refugiați","community_orgs","1","1","Asigurare hrană caldă"
"Timpul Bibliei","CJ","Aflux refugiați","faith_based","1","1","Asigurare de hrană caldă gratuit"
"Trucksif.srl","CJ","Pandemie","private_sector","1","1","Facilități transport"
"UNITIȚI PENTRU UCRAINA-ALBA","AB","Aflux refugiați","diaspora_support","1","1","Identificarea de spații de cazare, acordarea de asistență: psiholigică, socială (integrare în societate), educațională, acordarea de hrană, apă, obiecte și materiale de îngrijire personală, transport refugiați."
"Vila Rao","CJ","Aflux refugiați","private_sector","1","1","Cazare"
"VOLUNTEER FOR LIFE","SV","Aflux refugiați","community_orgs","1","1","oferirea de containere amenajate"
"Webasig apahida","CJ","Pandemie","community_orgs","1","1","Servicii"
"You Hub Association","TL","Aflux refugiați","international","1","1","Asigurare translatori și alte materiale"
