Source,Target,Type
0,dom_19,Undirected
1,dom_13,Undirected
2,dom_13,Undirected
2,dom_6,Undirected
3,dom_13,Undirected
3,dom_9,Undirected
4,dom_13,Undirected
4,dom_1,Undirected
5,dom_13,Undirected
5,dom_1,Undirected
6,dom_13,Undirected
6,dom_1,Undirected
7,dom_13,Undirected
7,dom_0,Undirected
8,dom_13,Undirected
8,dom_14,Undirected
9,dom_13,Undirected
9,dom_14,Undirected
10,dom_13,Undirected
10,dom_14,Undirected
11,dom_13,Undirected
11,dom_17,Undirected
12,dom_7,Undirected
13,dom_13,Undirected
13,dom_1,Undirected
14,dom_13,Undirected
14,dom_17,Undirected
15,dom_18,Undirected
16,dom_8,Undirected
17,dom_8,Undirected
18,dom_8,Undirected
19,dom_15,Undirected
19,dom_2,Undirected
20,dom_8,Undirected
20,dom_2,Undirected
21,dom_8,Undirected
21,dom_13,Undirected
22,dom_8,Undirected
22,dom_16,Undirected
23,dom_8,Undirected
23,dom_13,Undirected
24,dom_8,Undirected
24,dom_4,Undirected
25,dom_8,Undirected
25,dom_4,Undirected
26,dom_8,Undirected
26,dom_4,Undirected
27,dom_8,Undirected
27,dom_4,Undirected
27,dom_13,Undirected
28,dom_8,Undirected
28,dom_4,Undirected
28,dom_13,Undirected
29,dom_8,Undirected
29,dom_4,Undirected
29,dom_13,Undirected
30,dom_8,Undirected
30,dom_4,Undirected
30,dom_13,Undirected
30,dom_5,Undirected
31,dom_8,Undirected
31,dom_16,Undirected
32,dom_8,Undirected
32,dom_16,Undirected
33,dom_8,Undirected
33,dom_2,Undirected
34,dom_8,Undirected
34,dom_16,Undirected
35,dom_8,Undirected
35,dom_16,Undirected
36,dom_4,Undirected
37,dom_4,Undirected
38,dom_4,Undirected
39,dom_4,Undirected
40,dom_4,Undirected
41,dom_4,Undirected
42,dom_4,Undirected
43,dom_3,Undirected
43,dom_11,Undirected
44,dom_4,Undirected
44,dom_8,Undirected
45,dom_4,Undirected
45,dom_8,Undirected
46,dom_4,Undirected
46,dom_13,Undirected
46,dom_12,Undirected
47,dom_4,Undirected
47,dom_8,Undirected
48,dom_4,Undirected
48,dom_8,Undirected
49,dom_4,Undirected
49,dom_8,Undirected
50,dom_10,Undirected
51,dom_16,Undirected